game_date,game_id,player,team,opp,is_home,market_type,stat,threshold,yes_ask,model_prob,pred_stat,lineup_adj,edge,direction,kelly,rest_days,opp_def_l10,game_in_series,ticker,run_date
2026-05-06,26APR21HOULAL,Alperen Sengun,HOU,LAL,0,COMBO,TD,0.0,0.22,0.015,20p/9r/4a,0.0,0.205,NO,0.25,5.0,99.8,7,KXNBA3D-26APR21HOULAL-HOUASENGUN28,2026-05-06
2026-05-06,26APR19ORLDET,Cade Cunningham,DET,ORL,1,COMBO,TD,0.0,0.24,0.044,23p/4r/9a,0.0,0.196,NO,0.25,1.0,104.4,2,KXNBA3D-26APR19ORLDET-DETCCUNNINGHAM2,2026-05-06
2026-05-06,PHINYK,Josh Hart,NYK,PHI,1,PROP,AST,5.5,0.426,0.233,1.6,-1.42,0.193,NO,0.2268,2.0,105.9,2,AST-PHINYK-Josh Hart-5.5,2026-05-06
2026-05-06,26APR30NYKATL,Onyeka Okongwu,ATL,NYK,1,COMBO,DD,0.0,0.29,0.099,10p/6r/2a,0.0,0.191,NO,0.25,6.0,101.8,7,KXNBA2D-26APR30NYKATL-ATLOOKONGWU17,2026-05-06
2026-05-06,26APR29TORCLE,Evan Mobley,CLE,TOR,1,COMBO,DD,0.0,0.44,0.25,15p/8r/2a,0.0,0.19,NO,0.2164,1.0,109.1,2,KXNBA2D-26APR29TORCLE-CLEEMOBLEY4,2026-05-06
2026-05-06,26APR12DETIND,Cade Cunningham,DET,IND,0,COMBO,TD,0.0,0.23,0.044,23p/4r/9a,0.0,0.186,NO,0.25,1.0,119.0,2,KXNBA3D-26APR12DETIND-DETCCUNNINGHAM2,2026-05-06
2026-05-06,PHINYK,Tyrese Maxey,PHI,NYK,0,PROP,PTS,26.5,0.5392,0.353,20.3,-1.8,0.186,NO,0.1727,2.0,101.8,2,PTS-PHINYK-Tyrese Maxey-26.5,2026-05-06
2026-05-06,26APR30NYKATL,Jalen Brunson,NYK,ATL,0,COMBO,DD,0.0,0.01,0.195,23p/3r/6a,0.0,0.185,YES,0.0933,2.0,114.9,2,KXNBA2D-26APR30NYKATL-NYKJBRUNSON11,2026-05-06
2026-05-06,26MAY04PHINYK,Jalen Brunson,NYK,PHI,1,COMBO,DD,0.0,0.01,0.195,23p/3r/6a,0.0,0.185,YES,0.0933,2.0,105.9,2,KXNBA2D-26MAY04PHINYK-NYKJBRUNSON11,2026-05-06
2026-05-06,26MAY07LALOKC,Chet Holmgren,OKC,LAL,1,COMBO,DD,0.0,0.4,0.217,14p/8r/1a,0.0,0.183,NO,0.2288,1.0,99.8,2,KXNBA2D-26MAY07LALOKC-OKCCHOLMGREN7,2026-05-06
2026-05-06,26APR30DENMIN,Julius Randle,MIN,DEN,1,COMBO,DD,0.0,0.01,0.19,18p/6r/3a,0.0,0.18,YES,0.0908,2.0,117.2,2,KXNBA2D-26APR30DENMIN-MINJRANDLE30,2026-05-06
2026-05-06,26APR27MINDEN,Julius Randle,MIN,DEN,0,COMBO,DD,0.0,0.01,0.19,18p/6r/3a,0.0,0.18,YES,0.0908,2.0,117.2,2,KXNBA2D-26APR27MINDEN-MINJRANDLE30,2026-05-06
2026-05-06,26APR29HOULAL,Jabari Smith Jr.,HOU,LAL,0,COMBO,DD,0.0,0.01,0.187,13p/8r/1a,0.0,0.177,YES,0.0895,5.0,99.8,7,KXNBA2D-26APR29HOULAL-HOUJSMITH10,2026-05-06
2026-05-06,26MAY01LALHOU,Jabari Smith Jr.,HOU,LAL,1,COMBO,DD,0.0,0.01,0.187,13p/8r/1a,0.0,0.177,YES,0.0895,5.0,99.8,7,KXNBA2D-26MAY01LALHOU-HOUJSMITH10,2026-05-06
