game_date,game_id,player,team,opp,is_home,market_type,stat,threshold,yes_ask,model_prob,pred_stat,lineup_adj,edge,direction,kelly,rest_days,opp_def_l10,game_in_series,ticker,run_date
2026-05-04,26MAY04PHINYK,Josh Hart,NYK,PHI,1,PROP,AST,8.0,0.12,0.034,3.3,0.0,0.086,NO,0.25,4.0,107.4,7,KXNBAAST-26MAY04PHINYK-NYKJHART3-8,2026-05-04
2026-05-04,26MAY04PHINYK,Mikal Bridges,NYK,PHI,1,PROP,STL,1.0,0.52,0.434,0.8,0.0,0.086,NO,0.0824,4.0,107.4,7,KXNBASTL-26MAY04PHINYK-NYKMBRIDGES25-1,2026-05-04
2026-05-04,26MAY04MINSAS,Victor Wembanyama,SAS,MIN,1,PROP,AST,8.0,0.11,0.024,2.9,0.0,0.086,NO,0.25,6.0,116.3,6,KXNBAAST-26MAY04MINSAS-SASVWEMBANYAMA1-8,2026-05-04
2026-05-04,26MAY04PHINYK,Josh Hart,NYK,PHI,1,PROP,REB,8.0,0.61,0.525,8.2,0.0,0.085,NO,0.0693,4.0,107.4,7,KXNBAREB-26MAY04PHINYK-NYKJHART3-8,2026-05-04
2026-05-04,26MAY04MINSAS,Victor Wembanyama,SAS,MIN,1,COMBO,DD,0.0,0.74,0.655,25p/13r/4a,0.0,0.085,NO,0.0572,6.0,116.3,6,KXNBA2D-26MAY04MINSAS-SASVWEMBANYAMA1,2026-05-04
2026-05-04,26MAY04PHINYK,Karl-Anthony Towns,NYK,PHI,1,PROP,REB,14.0,0.33,0.246,11.5,0.0,0.084,NO,0.1275,4.0,107.4,7,KXNBAREB-26MAY04PHINYK-NYKKTOWNS32-14,2026-05-04
2026-05-04,26MAY04PHINYK,OG Anunoby,NYK,PHI,1,PROP,PTS,15.0,0.66,0.576,16.7,0.0,0.084,NO,0.0634,4.0,107.4,7,KXNBAPTS-26MAY04PHINYK-NYKOANUNOBY8-15,2026-05-04
2026-05-04,26MAY04PHINYK,Joel Embiid,PHI,NYK,0,PROP,REB,8.5,0.4916,0.575,9.4,0.0,0.084,YES,0.0824,2.0,102.5,8,REB-26MAY04PHINYK-Joel Embiid-8.5,2026-05-04
2026-05-04,26MAY04MINSAS,Victor Wembanyama,SAS,MIN,1,PROP,PTS,27.5,0.4892,0.405,24.7,0.0,0.084,NO,0.0856,6.0,116.3,6,PTS-26MAY04MINSAS-Victor Wembanyama-27.5,2026-05-04
2026-05-04,26MAY04PHINYK,Mitchell Robinson,NYK,PHI,1,PROP,PTS,10.0,0.17,0.253,4.2,0.0,0.083,YES,0.05,4.0,107.4,7,KXNBAPTS-26MAY04PHINYK-NYKMROBINSON23-10,2026-05-04
2026-05-04,26MAY04MINSAS,Victor Wembanyama,SAS,MIN,1,PROP,FG3M,5.0,0.12,0.038,1.7,0.0,0.082,NO,0.25,6.0,116.3,6,KXNBA3PT-26MAY04MINSAS-SASVWEMBANYAMA1-5,2026-05-04
2026-05-04,26MAY04PHINYK,Paul George,PHI,NYK,0,PROP,REB,6.0,0.44,0.358,4.7,0.0,0.082,NO,0.0935,2.0,102.5,8,KXNBAREB-26MAY04PHINYK-PHIPGEORGE8-6,2026-05-04
